current_time,ce1_name,ce1_ltp,ce1_token,ce2_name,ce2_ltp,ce2_token,pe1_name,pe1_ltp,pe1_token,pe2_name,pe2_ltp,pe2_token,straddle_price,underlying_ltp
2025-02-14 09:03:51,342.50,1.28,2AF81W342,345.00,0.48,2AF81W345,340.00,0.87,3AF81W340,337.50,0.34,3AF81W337,3.21,342.48
2025-02-14 09:07:42,342.50,1.39,2AF81W342,345.00,0.51,2AF81W345,340.00,0.76,3AF81W340,337.50,0.3,3AF81W337,3.17,341.87
2025-02-14 09:11:32,342.50,1.06,2AF81W342,345.00,0.39,2AF81W345,340.00,1.08,3AF81W340,337.50,0.44,3AF81W337,3.2199999999999998,341.88
2025-02-14 09:15:22,342.50,1.17,2AF81W342,345.00,0.41,2AF81W345,340.00,0.89,3AF81W340,337.50,0.36,3AF81W337,3.17,341.78
2025-02-14 09:19:12,342.50,1.18,2AF81W342,345.00,0.41,2AF81W345,340.00,0.8,3AF81W340,337.50,0.32,3AF81W337,3.13,342.26
2025-02-14 09:23:02,342.50,1.17,2AF81W342,345.00,0.39,2AF81W345,340.00,0.82,3AF81W340,337.50,0.31,3AF81W337,3.09,342.36
2025-02-14 09:26:52,342.50,1.2,2AF81W342,345.00,0.41,2AF81W345,340.00,0.86,3AF81W340,337.50,0.33,3AF81W337,3.12,341.97
2025-02-14 09:30:42,342.50,1.04,2AF81W342,345.00,0.33,2AF81W345,340.00,0.94,3AF81W340,337.50,0.36,3AF81W337,3.12,341.95
2025-02-14 09:34:32,342.50,1.09,2AF81W342,345.00,0.35,2AF81W345,340.00,0.9,3AF81W340,337.50,0.35,3AF81W337,3.0,341.84
2025-02-14 09:38:22,342.50,1.13,2AF81W342,345.00,0.37,2AF81W345,340.00,0.81,3AF81W340,337.50,0.29,3AF81W337,3.09,341.51
2025-02-14 09:42:12,342.50,1.13,2AF81W342,345.00,0.37,2AF81W345,340.00,0.81,3AF81W340,337.50,0.29,3AF81W337,3.0,341.69
2025-02-14 09:46:02,342.50,1.15,2AF81W342,345.00,0.37,2AF81W345,340.00,0.7,3AF81W340,337.50,0.25,3AF81W337,2.91,341.88
2025-02-14 09:49:52,342.50,1.11,2AF81W342,345.00,0.36,2AF81W345,340.00,0.76,3AF81W340,337.50,0.27,3AF81W337,2.88,341.93
2025-02-14 09:53:42,342.50,1.27,2AF81W342,345.00,0.42,2AF81W345,340.00,0.59,3AF81W340,337.50,0.2,3AF81W337,2.82,342.51
2025-02-14 09:57:32,342.50,1.66,2AF81W342,345.00,0.59,2AF81W345,340.00,0.48,3AF81W340,337.50,0.16,3AF81W337,2.9299999999999997,343.04
2025-02-14 10:01:22,342.50,1.62,2AF81W342,345.00,0.59,2AF81W345,340.00,0.47,3AF81W340,337.50,0.16,3AF81W337,3.04,343.51
2025-02-14 10:05:12,342.50,1.72,2AF81W342,345.00,0.65,2AF81W345,340.00,0.44,3AF81W340,337.50,0.16,3AF81W337,2.9299999999999997,342.93
2025-02-14 10:09:02,342.50,1.77,2AF81W342,345.00,0.64,2AF81W345,340.00,0.45,3AF81W340,337.50,0.15,3AF81W337,2.92,342.83
2025-02-14 10:12:52,342.50,1.8,2AF81W342,345.00,0.67,2AF81W345,340.00,0.43,3AF81W340,337.50,0.15,3AF81W337,2.9,343.05
2025-02-14 10:16:42,342.50,1.7,2AF81W342,345.00,0.61,2AF81W345,340.00,0.48,3AF81W340,337.50,0.16,3AF81W337,2.8,342.7
2025-02-14 10:20:32,342.50,1.64,2AF81W342,345.00,0.57,2AF81W345,340.00,0.46,3AF81W340,337.50,0.16,3AF81W337,2.78,342.89
2025-02-14 10:24:22,342.50,1.73,2AF81W342,345.00,0.63,2AF81W345,340.00,0.41,3AF81W340,337.50,0.13,3AF81W337,2.83,342.92
2025-02-14 10:28:12,342.50,1.62,2AF81W342,345.00,0.55,2AF81W345,340.00,0.43,3AF81W340,337.50,0.14,3AF81W337,2.8,342.84
2025-02-14 10:32:01,342.50,1.61,2AF81W342,345.00,0.55,2AF81W345,340.00,0.44,3AF81W340,337.50,0.14,3AF81W337,2.79,342.63
2025-02-14 10:35:51,342.50,1.55,2AF81W342,345.00,0.55,2AF81W345,340.00,0.49,3AF81W340,337.50,0.16,3AF81W337,2.77,342.49
2025-02-14 10:39:41,342.50,1.41,2AF81W342,345.00,0.48,2AF81W345,340.00,0.47,3AF81W340,337.50,0.15,3AF81W337,2.7199999999999998,342.78
2025-02-14 10:43:39,342.50,1.54,2AF81W342,345.00,0.53,2AF81W345,340.00,0.43,3AF81W340,337.50,0.14,3AF81W337,2.76,342.83
2025-02-14 10:47:29,342.50,1.56,2AF81W342,345.00,0.54,2AF81W345,340.00,0.44,3AF81W340,337.50,0.14,3AF81W337,2.76,342.8
2025-02-14 10:51:20,342.50,1.52,2AF81W342,345.00,0.52,2AF81W345,340.00,0.42,3AF81W340,337.50,0.14,3AF81W337,2.79,342.89
2025-02-14 10:55:09,342.50,1.8,2AF81W342,345.00,0.64,2AF81W345,340.00,0.41,3AF81W340,337.50,0.14,3AF81W337,2.8,342.86
2025-02-14 10:59:00,342.50,1.62,2AF81W342,345.00,0.57,2AF81W345,340.00,0.43,3AF81W340,337.50,0.14,3AF81W337,2.76,342.83
2025-02-14 11:02:49,342.50,1.65,2AF81W342,345.00,0.57,2AF81W345,340.00,0.41,3AF81W340,337.50,0.14,3AF81W337,2.76,342.81
2025-02-14 11:06:39,342.50,1.62,2AF81W342,345.00,0.56,2AF81W345,340.00,0.41,3AF81W340,337.50,0.14,3AF81W337,2.76,342.92
2025-02-14 11:10:29,342.50,1.62,2AF81W342,345.00,0.56,2AF81W345,340.00,0.42,3AF81W340,337.50,0.14,3AF81W337,2.76,342.76
