current_time,ce1_name,ce1_ltp,ce1_token,ce2_name,ce2_ltp,ce2_token,pe1_name,pe1_ltp,pe1_token,pe2_name,pe2_ltp,pe2_token,straddle_price,underlying_ltp
2025-01-21 09:03:51,340.00,1.03,209DFW340,342.50,0.45,209DFW342,330.00,0.32,309DFW330,327.50,0.17,309DFW327,4.1899999999999995,337.73
2025-01-21 09:07:41,340.00,1.3,209DFW340,342.50,0.57,209DFW342,335.00,0.85,309DFW335,330.00,0.22,309DFW330,4.1899999999999995,337.82
2025-01-21 09:11:31,340.00,1.49,209DFW340,342.50,0.68,209DFW342,335.00,0.82,309DFW335,332.50,0.4,309DFW332,4.24,338.55
2025-01-21 09:15:21,340.00,1.38,209DFW340,342.50,0.61,209DFW342,335.00,0.79,309DFW335,332.50,0.38,309DFW332,4.09,338.08
2025-01-21 09:19:11,340.00,1.13,209DFW340,342.50,0.48,209DFW342,335.00,0.97,309DFW335,332.50,0.48,309DFW332,4.0600000000000005,337.79
2025-01-21 09:23:01,340.00,1.05,209DFW340,342.50,0.45,209DFW342,335.00,0.98,309DFW335,332.50,0.47,309DFW332,4.05,337.45
2025-01-21 09:26:51,340.00,0.97,209DFW340,342.50,0.4,209DFW342,335.00,1.04,309DFW335,330.00,0.25,309DFW330,3.98,337.36
2025-01-21 09:30:41,340.00,0.91,209DFW340,342.50,0.38,209DFW342,335.00,1.03,309DFW335,330.00,0.24,309DFW330,3.9399999999999995,337.37
2025-01-21 09:34:30,340.00,0.87,209DFW340,342.50,0.36,209DFW342,332.50,0.51,309DFW332,330.00,0.24,309DFW330,3.9299999999999997,337.5
2025-01-21 09:38:20,340.00,0.73,209DFW340,342.50,0.3,209DFW342,332.50,0.61,309DFW332,330.00,0.27,309DFW330,4.04,336.82
2025-01-21 09:42:10,337.50,1.42,209DFW337,340.00,0.66,209DFW340,332.50,0.77,309DFW332,330.00,0.32,309DFW330,4.35,336.27
2025-01-21 09:46:00,337.50,1.53,209DFW337,340.00,0.72,209DFW340,335.00,1.5,309DFW335,330.00,0.38,309DFW330,4.23,336.71
2025-01-21 09:49:50,337.50,1.4,209DFW337,340.00,0.66,209DFW340,335.00,1.59,309DFW335,330.00,0.39,309DFW330,4.3,336.16
2025-01-21 09:53:40,337.50,1.05,209DFW337,340.00,0.49,209DFW340,335.00,2.65,309DFW335,330.00,0.66,309DFW330,4.92,334.49
2025-01-21 09:57:30,337.50,1.05,209DFW337,340.00,0.5,209DFW340,330.00,1.14,309DFW330,327.50,0.59,309DFW327,4.83,334.39
2025-01-21 10:01:20,337.50,0.86,209DFW337,340.00,0.41,209DFW340,330.00,1.23,309DFW330,327.50,0.73,309DFW327,5.14,333.52
2025-01-21 10:05:10,337.50,0.89,209DFW337,340.00,0.42,209DFW340,330.00,1.29,309DFW330,327.50,0.68,309DFW327,4.89,333.76
2025-01-21 10:08:59,337.50,0.95,209DFW337,340.00,0.44,209DFW340,330.00,1.03,309DFW330,327.50,0.55,309DFW327,4.78,334.25
2025-01-21 10:12:49,337.50,0.94,209DFW337,340.00,0.45,209DFW340,330.00,1.11,309DFW330,327.50,0.59,309DFW327,4.85,334.24
