current_time,ce1_name,ce1_ltp,ce1_token,ce2_name,ce2_ltp,ce2_token,pe1_name,pe1_ltp,pe1_token,pe2_name,pe2_ltp,pe2_token,straddle_price,underlying_ltp
2025-01-23 09:04:04,340.00,0.17,209DFW340,342.50,0.04,209DFW342,335.00,0.26,309DFW335,332.50,0.05,309DFW332,2.0100000000000002,336.7
2025-01-23 09:08:06,340.00,0.14,209DFW340,342.50,0.02,209DFW342,335.00,0.41,309DFW335,332.50,0.09,309DFW332,1.92,336.93
2025-01-23 09:12:09,340.00,0.12,209DFW340,342.50,0.02,209DFW342,335.00,0.3,309DFW335,332.50,0.06,309DFW332,1.94,336.96
2025-01-23 09:16:12,340.00,0.13,209DFW340,342.50,0.02,209DFW342,335.00,0.37,309DFW335,332.50,0.07,309DFW332,1.85,337.07
2025-01-23 09:20:14,340.00,0.06,209DFW340,342.50,0.01,209DFW342,335.00,0.36,309DFW335,332.50,0.07,309DFW332,2.07,336.45
2025-01-23 09:24:17,340.00,0.06,209DFW340,342.50,0.02,209DFW342,335.00,0.47,309DFW335,332.50,0.09,309DFW332,2.09,336.46
2025-01-23 09:28:19,337.50,0.28,209DFW337,340.00,0.06,209DFW340,335.00,0.44,309DFW335,332.50,0.07,309DFW332,1.92,335.68
2025-01-23 09:32:22,337.50,0.25,209DFW337,340.00,0.05,209DFW340,335.00,0.6,309DFW335,332.50,0.13,309DFW332,1.8199999999999998,335.96
2025-01-23 09:36:24,337.50,0.24,209DFW337,340.00,0.04,209DFW340,335.00,0.52,309DFW335,332.50,0.09,309DFW332,1.7799999999999998,335.92
2025-01-23 09:40:26,337.50,0.2,209DFW337,340.00,0.03,209DFW340,335.00,0.59,309DFW335,332.50,0.1,309DFW332,1.73,335.82
2025-01-23 09:44:29,337.50,0.12,209DFW337,340.00,0.02,209DFW340,335.00,0.76,309DFW335,332.50,0.16,309DFW332,1.6800000000000002,335.13
2025-01-23 09:48:31,337.50,0.1,209DFW337,340.00,0.02,209DFW340,332.50,0.18,309DFW332,330.00,0.03,309DFW330,1.67,334.94
2025-01-23 09:52:34,337.50,0.12,209DFW337,340.00,0.02,209DFW340,332.50,0.19,309DFW332,330.00,0.04,309DFW330,1.6400000000000001,335.12
2025-01-23 09:56:37,337.50,0.11,209DFW337,340.00,0.02,209DFW340,332.50,0.15,309DFW332,330.00,0.03,309DFW330,1.53,335.17
2025-01-23 10:00:39,337.50,0.12,209DFW337,340.00,0.01,209DFW340,332.50,0.13,309DFW332,330.00,0.02,309DFW330,1.49,335.37
