current_time,ce1_name,ce1_ltp,ce1_token,ce2_name,ce2_ltp,ce2_token,pe1_name,pe1_ltp,pe1_token,pe2_name,pe2_ltp,pe2_token,straddle_price,underlying_ltp
2025-03-13 09:03:52,340.00,4.63,2AF85W340,345.00,1.83,2AF85W345,340.00,1.36,3AF85W340,332.50,0.3,3AF85W332,5.13,344.01
2025-03-13 09:07:41,340.00,4.38,2AF85W340,347.50,0.88,2AF85W347,340.00,1.42,3AF85W340,332.50,0.31,3AF85W332,5.119999999999999,343.68
2025-03-13 09:11:31,340.00,4.38,2AF85W340,347.50,0.79,2AF85W347,342.50,2.45,3AF85W342,340.00,1.43,3AF85W340,5.14,343.52
2025-03-13 09:15:21,340.00,4.54,2AF85W340,347.50,0.85,2AF85W347,342.50,2.34,3AF85W342,340.00,1.4,3AF85W340,5.1899999999999995,343.52
2025-03-13 09:19:11,345.00,1.72,2AF85W345,347.50,0.81,2AF85W347,340.00,1.45,3AF85W340,332.50,0.35,3AF85W332,5.109999999999999,343.49
2025-03-13 09:23:01,345.00,1.75,2AF85W345,347.50,0.84,2AF85W347,335.00,0.51,3AF85W335,332.50,0.32,3AF85W332,5.18,343.8
2025-03-13 09:26:51,345.00,1.83,2AF85W345,347.50,0.92,2AF85W347,335.00,0.48,3AF85W335,332.50,0.29,3AF85W332,5.01,344.06
2025-03-13 09:30:41,345.00,1.82,2AF85W345,347.50,0.9,2AF85W347,335.00,0.49,3AF85W335,332.50,0.3,3AF85W332,5.05,343.81
2025-03-13 09:34:31,345.00,1.65,2AF85W345,347.50,0.81,2AF85W347,335.00,0.54,3AF85W335,332.50,0.33,3AF85W332,5.27,343.97
2025-03-13 09:38:21,345.00,1.85,2AF85W345,347.50,0.91,2AF85W347,335.00,0.46,3AF85W335,332.50,0.28,3AF85W332,5.12,344.47
2025-03-13 09:42:11,345.00,1.84,2AF85W345,347.50,0.93,2AF85W347,335.00,0.48,3AF85W335,332.50,0.27,3AF85W332,5.0200000000000005,344.33
2025-03-13 09:46:01,345.00,1.85,2AF85W345,347.50,0.98,2AF85W347,335.00,0.44,3AF85W335,332.50,0.26,3AF85W332,5.01,344.3
2025-03-13 09:49:51,345.00,1.88,2AF85W345,347.50,0.93,2AF85W347,335.00,0.43,3AF85W335,332.50,0.27,3AF85W332,5.01,344.17
2025-03-13 09:53:41,345.00,1.91,2AF85W345,347.50,0.94,2AF85W347,335.00,0.44,3AF85W335,332.50,0.27,3AF85W332,5.029999999999999,344.09
2025-03-13 09:57:31,345.00,1.87,2AF85W345,347.50,0.97,2AF85W347,335.00,0.42,3AF85W335,332.50,0.25,3AF85W332,4.9799999999999995,344.28
2025-03-13 10:01:20,345.00,1.85,2AF85W345,347.50,0.94,2AF85W347,335.00,0.46,3AF85W335,332.50,0.26,3AF85W332,4.97,344.17
2025-03-13 10:05:10,345.00,1.87,2AF85W345,347.50,0.89,2AF85W347,335.00,0.48,3AF85W335,332.50,0.28,3AF85W332,4.99,344.22
2025-03-13 10:09:00,345.00,1.68,2AF85W345,347.50,0.85,2AF85W347,332.50,0.28,3AF85W332,325.00,0.07,3AF85W325,4.92,344.06
2025-03-13 10:12:50,345.00,1.6,2AF85W345,347.50,0.81,2AF85W347,332.50,0.28,3AF85W332,325.00,0.07,3AF85W325,5.01,344.08
2025-03-13 10:16:40,345.00,1.81,2AF85W345,347.50,0.91,2AF85W347,332.50,0.25,3AF85W332,325.00,0.07,3AF85W325,4.9399999999999995,344.17
2025-03-13 10:20:30,345.00,1.8,2AF85W345,347.50,0.88,2AF85W347,332.50,0.26,3AF85W332,325.00,0.07,3AF85W325,4.98,344.39
2025-03-13 10:24:20,347.50,0.9,2AF85W347,350.00,0.39,2AF85W350,332.50,0.26,3AF85W332,325.00,0.07,3AF85W325,4.97,344.37
2025-03-13 10:28:10,347.50,0.91,2AF85W347,350.00,0.38,2AF85W350,332.50,0.26,3AF85W332,325.00,0.07,3AF85W325,4.97,344.3
2025-03-13 10:32:00,347.50,0.94,2AF85W347,350.00,0.4,2AF85W350,332.50,0.24,3AF85W332,325.00,0.07,3AF85W325,4.92,344.27
2025-03-13 10:35:50,347.50,0.91,2AF85W347,350.00,0.39,2AF85W350,332.50,0.21,3AF85W332,325.00,0.06,3AF85W325,4.85,344.85
2025-03-13 10:39:40,347.50,1.04,2AF85W347,350.00,0.45,2AF85W350,332.50,0.2,3AF85W332,325.00,0.06,3AF85W325,4.85,344.65
2025-03-13 10:43:30,347.50,1.01,2AF85W347,350.00,0.43,2AF85W350,332.50,0.22,3AF85W332,325.00,0.06,3AF85W325,4.9,344.48
2025-03-13 10:47:20,347.50,0.93,2AF85W347,350.00,0.39,2AF85W350,332.50,0.23,3AF85W332,325.00,0.06,3AF85W325,4.85,344.56
2025-03-13 10:51:10,347.50,0.94,2AF85W347,350.00,0.38,2AF85W350,332.50,0.22,3AF85W332,325.00,0.06,3AF85W325,4.79,344.29
2025-03-13 10:55:00,347.50,0.9,2AF85W347,350.00,0.37,2AF85W350,332.50,0.23,3AF85W332,325.00,0.07,3AF85W325,4.91,344.34
2025-03-13 10:58:50,347.50,0.91,2AF85W347,350.00,0.37,2AF85W350,332.50,0.23,3AF85W332,325.00,0.06,3AF85W325,4.92,344.15
2025-03-13 11:02:40,347.50,0.83,2AF85W347,350.00,0.34,2AF85W350,332.50,0.24,3AF85W332,325.00,0.06,3AF85W325,4.98,343.96
2025-03-13 11:06:30,347.50,0.79,2AF85W347,350.00,0.33,2AF85W350,335.00,0.39,3AF85W335,332.50,0.23,3AF85W332,4.84,344.14
2025-03-13 11:10:20,347.50,0.88,2AF85W347,350.00,0.36,2AF85W350,335.00,0.38,3AF85W335,332.50,0.23,3AF85W332,4.92,343.93
2025-03-13 11:14:10,347.50,0.86,2AF85W347,350.00,0.35,2AF85W350,335.00,0.39,3AF85W335,332.50,0.23,3AF85W332,4.9399999999999995,344.05
